mel	output	text
mels/LJ021-0066.pt	049_devset_LJ021-0066.wav	together with a great increase in the payrolls, there has come a substantial rise in the total of industrial profits
mels/LJ021-0145.pt	050_devset_LJ021-0145.wav	From those willing to join in establishing this hoped-for period of peace,
mels/LJ022-0023.pt	051_devset_LJ022-0023.wav	The overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read.
mels/LJ024-0083.pt	052_devset_LJ024-0083.wav	This plan of mine is no attack on the Court;
mels/LJ026-0068.pt	053_devset_LJ026-0068.wav	Energy enters the plant, to a small extent,
mels/LJ027-0052.pt	054_devset_LJ027-0052.wav	These principles of homology are essential to a correct interpretation of the facts of morphology.
mels/LJ027-0141.pt	055_devset_LJ027-0141.wav	is closely reproduced in the life-history of existing deer. Or, in other words,
mels/LJ028-0008.pt	056_devset_LJ028-0008.wav	you tap gently with your heel upon the shoulder of the dromedary to urge her on.
mels/LJ028-0081.pt	057_devset_LJ028-0081.wav	Years later, when the archaeologists could readily distinguish the false from the true,
mels/LJ028-0093.pt	058_devset_LJ028-0093.wav	but his scribe wrote it in the manner customary for the scribes of those days to write of their royal masters.
mels/LJ028-0275.pt	059_devset_LJ028-0275.wav	At last, in the twentieth month,
mels/LJ028-0307.pt	060_devset_LJ028-0307.wav	then let twenty days pass, and at the end of that time station near the Chaldasan gates a body of four thousand.
mels/LJ028-0335.pt	061_devset_LJ028-0335.wav	accordingly they committed to him the command of their whole army, and put the keys of their city into his hands.
mels/LJ028-0506.pt	062_devset_LJ028-0506.wav	A modern artist would have difficulty in doing such accurate work.
mels/LJ029-0022.pt	063_devset_LJ029-0022.wav	The original plan called for the President to spend only one day in the State, making whirlwind visits to Dallas, Fort Worth, San Antonio, and Houston.
mels/LJ029-0032.pt	064_devset_LJ029-0032.wav	According to O'Donnell, quote, we had a motorcade wherever we went, end quote.
mels/LJ031-0038.pt	065_devset_LJ031-0038.wav	The first physician to see the President at Parkland Hospital was Dr. Charles J. Carrico, a resident in general surgery.
mels/LJ031-0070.pt	066_devset_LJ031-0070.wav	Dr. Clark, who most closely observed the head wound,
mels/LJ031-0134.pt	067_devset_LJ031-0134.wav	On one occasion Mrs. Johnson, accompanied by two Secret Service agents, left the room to see Mrs. Kennedy and Mrs. Connally.
mels/LJ031-0202.pt	068_devset_LJ031-0202.wav	Mrs. Kennedy chose the hospital in Bethesda for the autopsy because the President had served in the Navy.
mels/LJ033-0047.pt	069_devset_LJ033-0047.wav	I noticed when I went out that the light was on, end quote,
mels/LJ034-0042.pt	070_devset_LJ034-0042.wav	that he could only testify with certainty that the print was less than three days old.
mels/LJ034-0053.pt	071_devset_LJ034-0053.wav	reached the same conclusion as Latona that the prints found on the cartons were those of Lee Harvey Oswald.
mels/LJ034-0160.pt	072_devset_LJ034-0160.wav	on Brennan's subsequent certain identification of Lee Harvey Oswald as the man he saw fire the rifle.
mels/LJ034-0198.pt	073_devset_LJ034-0198.wav	Euins, who was on the southwest corner of Elm and Houston Streets testified that he could not describe the man he saw in the window.
mels/LJ035-0019.pt	074_devset_LJ035-0019.wav	drove to the northwest corner of Elm and Houston, and parked approximately ten feet from the traffic signal.
mels/LJ035-0129.pt	075_devset_LJ035-0129.wav	and she must have run down the stairs ahead of Oswald and would probably have seen or heard him.
mels/LJ036-0077.pt	076_devset_LJ036-0077.wav	Roger D. Craig, a deputy sheriff of Dallas County,
mels/LJ036-0103.pt	077_devset_LJ036-0103.wav	The police asked him whether he could pick out his passenger from the lineup.
mels/LJ036-0174.pt	078_devset_LJ036-0174.wav	This is the approximate time he entered the roominghouse, according to Earlene Roberts, the housekeeper there.
mels/LJ037-0234.pt	079_devset_LJ037-0234.wav	Mrs. Mary Brock, the wife of a mechanic who worked at the station, was there at the time and she saw a white male,
mels/LJ038-0199.pt	080_devset_LJ038-0199.wav	eleven. If I am alive and taken prisoner,
mels/LJ039-0075.pt	081_devset_LJ039-0075.wav	once you know that you must put the crosshairs on the target and that is all that is necessary.
mels/LJ039-0223.pt	082_devset_LJ039-0223.wav	Oswald's Marine training in marksmanship, his other rifle experience and his established familiarity with this particular weapon
mels/LJ040-0002.pt	083_devset_LJ040-0002.wav	Chapter seven. Lee Harvey Oswald: Background and Possible Motives, Part one.
mels/LJ040-0027.pt	084_devset_LJ040-0027.wav	He was never satisfied with anything.
mels/LJ042-0096.pt	085_devset_LJ042-0096.wav	(old exchange rate) in addition to his factory salary of approximately equal amount
mels/LJ042-0129.pt	086_devset_LJ042-0129.wav	No night clubs or bowling alleys, no places of recreation except the trade union dances. I have had enough.
mels/LJ043-0002.pt	087_devset_LJ043-0002.wav	The Warren Commission Report. By The President's Commission on the Assassination of President Kennedy. Chapter seven. Lee Harvey Oswald:
mels/LJ043-0030.pt	088_devset_LJ043-0030.wav	If somebody did that to me, a lousy trick like that, to take my wife away, and all the furniture, I would be mad as hell, too.
mels/LJ045-0140.pt	089_devset_LJ045-0140.wav	The arguments he used to justify his use of the alias suggest that Oswald may have come to think that the whole world was becoming involved
mels/LJ045-0230.pt	090_devset_LJ045-0230.wav	when he was finally apprehended in the Texas Theatre. Although it is not fully corroborated by others who were present,
mels/LJ046-0058.pt	091_devset_LJ046-0058.wav	During his Presidency, Franklin D. Roosevelt made almost four hundred journeys and traveled more than three hundred fifty thousand miles.
mels/LJ046-0146.pt	092_devset_LJ046-0146.wav	The criteria in effect prior to November twenty-two, nineteen sixty-three, for determining whether to accept material for the PRS general files
mels/LJ046-0184.pt	093_devset_LJ046-0184.wav	but there is a system for the immediate notification of the Secret Service by the confining institution when a subject is released or escapes.
mels/LJ047-0044.pt	094_devset_LJ047-0044.wav	Oswald was, however, willing to discuss his contacts with Soviet authorities. He denied having any involvement with Soviet intelligence agencies
mels/LJ047-0148.pt	095_devset_LJ047-0148.wav	On October twenty-five,
mels/LJ048-0194.pt	096_devset_LJ048-0194.wav	during the morning of November twenty-two prior to the motorcade.
mels/LJ048-0228.pt	097_devset_LJ048-0228.wav	and others who were present say that no agent was inebriated or acted improperly.
mels/LJ049-0026.pt	098_devset_LJ049-0026.wav	On occasion the Secret Service has been permitted to have an agent riding in the passenger compartment with the President.
mels/LJ049-0050.pt	099_devset_LJ049-0050.wav	Hill had both feet on the car and was climbing aboard to assist President and Mrs. Kennedy.
mels/LJ050-0168.pt	100_devset_LJ050-0168.wav	with the particular purposes of the agency involved. The Commission recognizes that this is a controversial area
